Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
PIA,14.0,0 days 01:18:34.427000,,SOFT,17.0
PIA,32.0,0 days 01:48:24.783000,,MEDIUM,18.0
RUS,13.0,0 days 01:17:00.288000,,SOFT,16.0
RUS,32.0,0 days 01:48:34.368000,,MEDIUM,19.0
NOR,10.0,0 days 01:12:03.834000,,SOFT,13.0
NOR,32.0,0 days 01:48:38.428000,,MEDIUM,22.0
LEC,17.0,0 days 01:23:38.022000,,MEDIUM,17.0
LEC,32.0,0 days 01:48:35.804000,,MEDIUM,15.0
HAM,17.0,0 days 01:23:48.039000,,MEDIUM,17.0
HAM,32.0,0 days 01:48:51.358000,,MEDIUM,15.0
VER,10.0,0 days 01:12:11.433000,,SOFT,13.0
VER,26.0,0 days 01:38:56.736000,,HARD,16.0
GAS,10.0,0 days 01:12:10.485000,,SOFT,13.0
GAS,28.0,0 days 01:42:04.406000,,MEDIUM,18.0
OCO,8.0,0 days 01:08:56.531000,,SOFT,8.0
OCO,27.0,0 days 01:40:31.923000,,MEDIUM,19.0
TSU,11.0,0 days 01:13:54.666000,,SOFT,14.0
TSU,32.0,0 days 01:49:19.162000,,MEDIUM,21.0
BEA,14.0,0 days 01:18:59.634000,,SOFT,14.0
BEA,32.0,0 days 01:49:23.999000,,HARD,18.0
ANT,12.0,0 days 01:15:27.861000,,SOFT,15.0
ANT,27.0,0 days 01:40:33.109000,,MEDIUM,15.0
ANT,32.0,0 days 01:49:27.885000,,SOFT,8.0
ALB,16.0,0 days 01:22:19.013000,,SOFT,16.0
ALB,32.0,0 days 01:49:23.329000,,HARD,16.0
HAD,6.0,0 days 01:05:42.618000,,SOFT,6.0
HAD,28.0,0 days 01:42:28.733000,,MEDIUM,22.0
DOO,9.0,0 days 01:10:36.604000,,SOFT,9.0
DOO,28.0,0 days 01:42:16.778000,,MEDIUM,19.0
ALO,16.0,0 days 01:22:24.299000,,MEDIUM,16.0
ALO,32.0,0 days 01:49:30.793000,,MEDIUM,16.0
LAW,14.0,0 days 01:19:05.384000,,MEDIUM,14.0
LAW,32.0,0 days 01:49:42.611000,,HARD,18.0
STR,12.0,0 days 01:15:46.098000,,SOFT,12.0
STR,32.0,0 days 01:49:43.251000,,MEDIUM,20.0
BOR,13.0,0 days 01:17:28.545000,,MEDIUM,13.0
BOR,32.0,0 days 01:49:50.777000,,HARD,19.0
SAI,14.0,0 days 01:18:57.126000,,SOFT,17.0
SAI,32.0,0 days 01:49:17.919000,,MEDIUM,18.0
SAI,44.0,0 days 02:10:57.722000,,HARD,12.0
SAI,45.0,0 days 02:13:09.914000,0 days 02:11:34.683000,SOFT,4.0
HUL,5.0,0 days 01:04:05.488000,,SOFT,5.0
HUL,27.0,0 days 01:40:53.992000,,MEDIUM,22.0
