Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,7.0,0 days 01:08:48.918000,,HARD,7.0
VER,34.0,0 days 01:43:06.142000,,MEDIUM,27.0
VER,54.0,0 days 02:08:02.145000,,MEDIUM,20.0
GAS,18.0,0 days 01:23:02.441000,,SOFT,21.0
GAS,39.0,0 days 01:49:38.646000,,MEDIUM,21.0
ANT,21.0,0 days 01:26:37.851000,,SOFT,24.0
ANT,47.0,0 days 01:59:17.759000,,MEDIUM,26.0
ALO,28.0,0 days 01:35:47.019000,,HARD,28.0
ALO,46.0,0 days 01:58:37.981000,,MEDIUM,24.0
STR,29.0,0 days 01:37:05.727000,,HARD,29.0
STR,54.0,0 days 02:08:40.083000,,MEDIUM,31.0
TSU,2.0,0 days 01:00:16.899000,,HARD,2.0
TSU,24.0,0 days 01:30:42.910000,,MEDIUM,22.0
TSU,47.0,0 days 02:00:01.560000,,MEDIUM,23.0
ALB,35.0,0 days 01:44:35.099000,,MEDIUM,41.0
ALB,55.0,0 days 02:09:49.518000,,SOFT,22.0
HUL,36.0,0 days 01:45:47.583000,,MEDIUM,36.0
LAW,19.0,0 days 01:24:17.847000,,SOFT,22.0
OCO,8.0,0 days 01:10:29.780000,,HARD,8.0
OCO,47.0,0 days 01:59:48.664000,,MEDIUM,39.0
NOR,30.0,0 days 01:37:43.414000,,MEDIUM,30.0
NOR,50.0,0 days 02:02:52.114000,,SOFT,23.0
COL,29.0,0 days 01:37:05.186000,,MEDIUM,29.0
COL,43.0,0 days 01:54:55.886000,,SOFT,14.0
HAM,2.0,0 days 01:00:24.500000,,SOFT,2.0
HAM,14.0,0 days 01:18:04.580000,,HARD,12.0
HAM,32.0,0 days 01:41:05.755000,,MEDIUM,18.0
HAM,37.0,0 days 01:47:54.234000,,MEDIUM,5.0
SAI,17.0,0 days 01:21:48.445000,,SOFT,17.0
SAI,38.0,0 days 01:48:27.158000,,MEDIUM,21.0
HAD,18.0,0 days 01:22:59.244000,,SOFT,21.0
HAD,37.0,0 days 01:47:08.180000,,MEDIUM,25.0
RUS,34.0,0 days 01:42:59.687000,,MEDIUM,38.0
RUS,48.0,0 days 02:00:35.603000,,SOFT,15.0
PIA,38.0,0 days 01:47:53.215000,,MEDIUM,38.0
PIA,51.0,0 days 02:04:24.420000,,SOFT,15.0
BEA,17.0,0 days 01:21:44.740000,,SOFT,19.0
BEA,42.0,0 days 01:53:15.314000,,MEDIUM,25.0
