Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
NOR,31.0,0 days 01:40:28.419000,,MEDIUM,31.0
PIA,18.0,0 days 01:22:35.491000,,MEDIUM,18.0
PIA,45.0,0 days 01:59:31.787000,,HARD,28.0
RUS,19.0,0 days 01:24:01.661000,,MEDIUM,19.0
RUS,43.0,0 days 01:56:58.551000,,HARD,24.0
LEC,19.0,0 days 01:23:55.108000,,MEDIUM,19.0
LEC,40.0,0 days 01:52:43.334000,,HARD,21.0
ALO,39.0,0 days 01:51:55.472000,,MEDIUM,40.0
BOR,40.0,0 days 01:53:23.492000,,MEDIUM,40.0
STR,36.0,0 days 01:47:58.780000,,MEDIUM,37.0
LAW,40.0,0 days 01:53:29.437000,,MEDIUM,40.0
VER,17.0,0 days 01:21:35.516000,,MEDIUM,17.0
VER,48.0,0 days 02:04:25.971000,,HARD,31.0
ANT,21.0,0 days 01:27:18.371000,,MEDIUM,21.0
HAD,33.0,0 days 01:44:03.461000,,MEDIUM,33.0
HAM,42.0,0 days 01:56:27.717000,,HARD,42.0
HUL,5.0,0 days 01:05:02.803000,,SOFT,5.0
HUL,41.0,0 days 01:55:09.502000,,MEDIUM,36.0
SAI,15.0,0 days 01:18:55.643000,,SOFT,15.0
SAI,51.0,0 days 02:09:01.002000,,HARD,36.0
ALB,14.0,0 days 01:17:35.258000,,SOFT,14.0
ALB,38.0,0 days 01:51:05.941000,,MEDIUM,24.0
OCO,14.0,0 days 01:17:34.555000,,MEDIUM,14.0
TSU,20.0,0 days 01:26:02.289000,,MEDIUM,20.0
TSU,37.0,0 days 01:49:46.580000,,SOFT,17.0
COL,13.0,0 days 01:16:13.022000,,MEDIUM,13.0
COL,35.0,0 days 01:46:58.633000,,HARD,22.0
GAS,32.0,0 days 01:42:43.804000,,HARD,32.0
BEA,30.0,0 days 01:39:52.305000,,MEDIUM,30.0
BEA,48.0,0 days 02:05:06.251000,,HARD,18.0
