Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,23.0,0 days 01:26:02.731000,,SOFT,23.0
VER,53.0,0 days 02:06:09.146000,,MEDIUM,30.0
GAS,23.0,0 days 01:26:39.992000,,MEDIUM,23.0
ANT,23.0,0 days 01:26:33.466000,,MEDIUM,23.0
ANT,51.0,0 days 02:03:36.713000,,HARD,28.0
ANT,53.0,0 days 02:06:50.735000,,SOFT,2.0
ALO,18.0,0 days 01:19:49.704000,,MEDIUM,18.0
ALO,40.0,0 days 01:50:08.759000,,HARD,22.0
LEC,22.0,0 days 01:24:38.172000,,MEDIUM,22.0
LEC,52.0,0 days 02:04:50.148000,,HARD,31.0
STR,8.0,0 days 01:07:04.159000,,MEDIUM,8.0
STR,52.0,0 days 02:05:23.834000,,HARD,44.0
TSU,19.0,0 days 01:21:05.976000,,SOFT,19.0
TSU,53.0,0 days 02:07:08.394000,,HARD,34.0
ALB,23.0,0 days 01:26:30.059000,,MEDIUM,23.0
ALB,53.0,0 days 02:06:35.923000,,HARD,30.0
HUL,19.0,0 days 01:21:10.834000,,SOFT,19.0
HUL,53.0,0 days 02:07:18.394000,,HARD,34.0
LAW,23.0,0 days 01:26:21.841000,,MEDIUM,23.0
LAW,27.0,0 days 01:33:55.079000,,HARD,4.0
LAW,52.0,0 days 02:06:51.720000,,SOFT,28.0
OCO,52.0,0 days 02:05:26.244000,,HARD,52.0
NOR,23.0,0 days 01:25:43.427000,,MEDIUM,23.0
NOR,53.0,0 days 02:05:56.065000,,HARD,30.0
COL,19.0,0 days 01:21:09.872000,,SOFT,19.0
COL,53.0,0 days 02:07:18.013000,,HARD,34.0
COL,65.0,0 days 02:24:44.038000,,MEDIUM,12.0
BOR,22.0,0 days 01:25:07.123000,,MEDIUM,22.0
BOR,60.0,0 days 02:18:10.435000,,HARD,38.0
SAI,23.0,0 days 01:26:23.216000,,MEDIUM,23.0
SAI,27.0,0 days 01:33:53.829000,,HARD,4.0
SAI,51.0,0 days 02:05:10.066000,,SOFT,27.0
SAI,65.0,0 days 02:25:03.245000,,SOFT,17.0
HAD,23.0,0 days 01:26:06.277000,,MEDIUM,23.0
HAD,53.0,0 days 02:06:13.306000,,HARD,30.0
RUS,23.0,0 days 01:26:09.601000,,MEDIUM,23.0
RUS,53.0,0 days 02:06:32.408000,,HARD,30.0
PIA,23.0,0 days 01:25:38.174000,,MEDIUM,23.0
PIA,53.0,0 days 02:05:51.907000,,HARD,30.0
BEA,53.0,0 days 02:07:07.410000,,HARD,53.0
