Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
PIA,19.0,0 days 01:29:46.222000,,MEDIUM,19.0
VER,21.0,0 days 01:32:51.477000,,MEDIUM,21.0
LEC,29.0,0 days 01:45:31.143000,,MEDIUM,29.0
NOR,34.0,0 days 01:53:19.918000,,HARD,34.0
RUS,20.0,0 days 01:31:26.484000,,MEDIUM,20.0
ANT,19.0,0 days 01:30:01.263000,,MEDIUM,19.0
HAM,23.0,0 days 01:36:24.747000,,MEDIUM,23.0
SAI,21.0,0 days 01:33:19.262000,,MEDIUM,21.0
ALB,22.0,0 days 01:34:58.462000,,MEDIUM,22.0
HAD,34.0,0 days 01:53:54.834000,,HARD,34.0
ALO,19.0,0 days 01:30:18.138000,,MEDIUM,20.0
LAW,20.0,0 days 01:31:51.235000,,MEDIUM,20.0
BEA,18.0,0 days 01:28:45.478000,,MEDIUM,18.0
OCO,1.0,0 days 00:59:25.637000,,MEDIUM,1.0
HUL,33.0,0 days 01:52:44.409000,,HARD,33.0
STR,39.0,0 days 02:02:14.864000,,HARD,40.0
DOO,1.0,0 days 00:59:24.793000,,MEDIUM,1.0
DOO,32.0,0 days 01:51:18.017000,,HARD,31.0
BOR,1.0,0 days 00:59:26.199000,,MEDIUM,1.0
TSU,1.0,0 days 00:59:41.846000,,MEDIUM,1.0
